candidate,i,agent,trigger,tool,expected_kind,expected_id,raw,decision_kind,decision_id,verdict,latency_s
bpmn_dsl,4,inventory_agent,tool_call,check_inventory,Execution,A03,Execution:A03:check_stock,Execution,A03,correct,1.196
bpmn_dsl,5,inventory_agent,tool_call,update_stock,Violation,,Violation:inventory_agent_tool_call_outside_known_activities,Violation,,correct,1.302
bpmn_dsl,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_food_on_tray,Execution,A04,correct,1.592
bpmn_dsl,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.218
bpmn_dsl,8,barista_agent,tool_call,start_preparation,Execution,A05,Execution:A05:brew_coffee,Execution,A05,correct,1.031
bpmn_dsl,9,barista_agent,tool_call,end_preparation,Execution,A05b,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,1.149
bpmn_dsl,10,barista_agent,tool_call,place_on_tray,Violation,,Violation:barista_agent_executing_place_on_tray_activity_not_in_barista_lane,Violation,,correct,1.157
bpmn_dsl,11,barista_agent,message,,Violation,,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,1.120
bpmn_json,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,1.135
bpmn_json,2,order_agent,tool_call,process_order,Execution,A02,Execution:A02:create_order,Execution,A02,correct,1.002
bpmn_json,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,1.112
bpmn_json,4,inventory_agent,tool_call,check_inventory,Execution,A03,Execution:A03:check_stock,Execution,A03,correct,1.324
bpmn_json,5,inventory_agent,tool_call,update_stock,Violation,,Violation:inventory_agent_tool_call_outside_defined_activities,Violation,,correct,1.320
bpmn_json,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_food_on_tray,Execution,A04,correct,1.077
bpmn_json,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.026
bpmn_json,8,barista_agent,tool_call,start_preparation,Execution,A05,Execution:A05:brew_coffee,Execution,A05,correct,1.232
bpmn_json,9,barista_agent,tool_call,end_preparation,Execution,A05b,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,1.142
bpmn_json,10,barista_agent,tool_call,place_on_tray,Violation,,Violation:barista_agent_calling_inventory_agent_tool,Violation,,correct,1.132
bpmn_json,11,barista_agent,message,,Violation,,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,1.241
