variant,i,agent,trigger,tool,expected_kind,expected_id,raw,decision_kind,decision_id,verdict,latency_s
v3_tool_inventory,10,barista_agent,tool_call,place_on_tray,Violation,,Violation:barista_agent_cannot_execute_place_on_tray_during_A05_brew_coffee,Violation,,correct,1.101
v3_tool_inventory,11,barista_agent,message,,Violation,,I need to analyze this message from the barista_agent with trigger=message.,Unparseable,,unparseable,5.172
v4_combined,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,1.175
v4_combined,2,order_agent,tool_call,process_order,Execution,A02,Execution:A02:create_order,Execution,A02,correct,1.150
v4_combined,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,1.034
v4_combined,4,inventory_agent,tool_call,check_inventory,Execution,A03,Execution:A03:check_stock,Execution,A03,correct,1.066
v4_combined,5,inventory_agent,tool_call,update_stock,Violation,,Execution:A03:check_stock,Execution,A03,wrong,1.285
v4_combined,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_food_on_tray,Execution,A04,correct,1.143
v4_combined,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.138
v4_combined,8,barista_agent,tool_call,start_preparation,Execution,A05,Execution:A05:brew_coffee,Execution,A05,correct,1.343
v4_combined,9,barista_agent,tool_call,end_preparation,Execution,A05b,Execution:A05:brew_coffee,Execution,A05,wrong,1.055
v4_combined,10,barista_agent,tool_call,place_on_tray,Violation,,Execution:A05:brew_coffee,Execution,A05,wrong,2.141
v4_combined,11,barista_agent,message,,Violation,,Execution:A07:handout_order,Execution,A07,wrong,1.603
v5_strict_violation,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,1.122
v5_strict_violation,2,order_agent,tool_call,process_order,Execution,A02,Violation:tool_name_not_in_bpmn,Violation,,wrong,2.532
v5_strict_violation,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,2.572
v5_strict_violation,4,inventory_agent,tool_call,check_inventory,Execution,A03,Violation:tool_name_not_in_bpmn,Violation,,wrong,1.287
v5_strict_violation,5,inventory_agent,tool_call,update_stock,Violation,,Violation:tool_name_not_in_bpmn,Violation,,correct,1.133
v5_strict_violation,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_food_on_tray,Execution,A04,correct,1.069
v5_strict_violation,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.088
v5_strict_violation,8,barista_agent,tool_call,start_preparation,Execution,A05,Violation:tool_name_not_in_bpmn,Violation,,wrong,1.154
v5_strict_violation,9,barista_agent,tool_call,end_preparation,Execution,A05b,Violation:tool_name_not_in_any_activity,Violation,,wrong,1.323
v5_strict_violation,10,barista_agent,tool_call,place_on_tray,Violation,,Violation:tool_not_in_activity_and_agent_lane_mismatch,Violation,,correct,1.595
v5_strict_violation,11,barista_agent,message,,Violation,,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,1.316
v6_lenient_violation,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,1.356
v6_lenient_violation,2,order_agent,tool_call,process_order,Execution,A02,Execution:A02:create_order,Execution,A02,correct,1.341
v6_lenient_violation,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,1.194
v6_lenient_violation,4,inventory_agent,tool_call,check_inventory,Execution,A03,Execution:A03:check_stock,Execution,A03,correct,1.102
v6_lenient_violation,5,inventory_agent,tool_call,update_stock,Violation,,Violation:tool_not_in_process_model,Violation,,correct,1.169
v6_lenient_violation,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_food_on_tray,Execution,A04,correct,1.111
v6_lenient_violation,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.386
v6_lenient_violation,8,barista_agent,tool_call,start_preparation,Execution,A05,Execution:A05:brew_coffee,Execution,A05,correct,1.411
v6_lenient_violation,9,barista_agent,tool_call,end_preparation,Execution,A05b,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,0.977
v6_lenient_violation,10,barista_agent,tool_call,place_on_tray,Violation,,Violation:barista_agent_cannot_execute_place_on_tray_activity,Violation,,correct,0.979
v6_lenient_violation,11,barista_agent,message,,Violation,,Execution:A05:brew_coffee,Execution,A05,wrong,1.010
